method,median,sd,min,max,Q1,Q3,se_est,n,n_diag,n_pts,matrix
pnorm_sparse,0.7389236681825633,0.0006364074261422602,0.7368356818508768,0.7412291081347268,0.7386310034099417,0.7393428021771744,0.0019935533149738867,512,,24576,fixed
tlr,0.7388115170547938,0.0010843951461566236,0.7358066485240554,0.7412085631622091,0.7381481136073569,0.7396527745866326,0.000992826306454214,512,,24576,fixed
pnorm,0.7388512492179871,0.0002907474278658185,0.7381450533866882,0.739619791507721,0.738655686378479,0.7390351891517639,0.0008682654908625409,512,,245760,fixed
pnorm_sparse,0.7388865012733519,0.0002840125439874204,0.7379516338650015,0.7395653530633934,0.7387014573471288,0.7390125067783554,0.0008515569279142001,512,,245760,fixed
tlr,0.7387765999325373,0.00039033575689799573,0.738051219559525,0.7401603808115247,0.7385981852623057,0.739025131610886,0.00034761012596473293,512,,245760,fixed
pnorm,0.7738754451274872,0.0006246813149147968,0.7720027565956116,0.7753919959068298,0.7734362781047821,0.7742624282836914,0.002076101563870907,1024,,24576,fixed
pnorm_sparse,0.7737376387284105,0.0006998007378054548,0.7721728698081186,0.7754195996217854,0.7732522310177141,0.7742000648236355,0.0019279674070983466,1024,,24576,fixed
tlr,0.7738293340185252,0.0009794350356807165,0.7717354116947637,0.7770812103453566,0.7732334088058446,0.7745223546526222,0.0009714246347988822,1024,,24576,fixed
pnorm,0.773809939622879,0.0002455365675736784,0.7732425332069397,0.7743753790855408,0.7736298441886902,0.7739561796188354,0.0007782919745659456,1024,,245760,fixed
pnorm_sparse,0.7738165130290107,0.00026840701332360683,0.7732119842908286,0.7745059233518209,0.7736429194620248,0.7740377693388624,0.000780535512712294,1024,,245760,fixed
tlr,0.7737706174669482,0.00033349634557074565,0.7730966274350178,0.7745309530212126,0.7735360078011114,0.774006593930253,0.00030346922257755134,1024,,245760,fixed
pnorm,0.8038054406642914,0.0006339337460767126,0.8020434975624084,0.8051672577857971,0.8032863140106201,0.8042199909687042,0.0020695305638946592,2048,,24576,fixed
