method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,sim
mvnormcdf,0.25849802588949056,1.3493712850339134e-5,0.25846905104369355,0.2585381608140901,0.258490639202621,0.2585098672092706,4.376714081142511e-5,256,245760,sim1
mvnmvt,0.2585041889657509,4.8435310892557154e-5,0.25834695678975295,0.25863837665602574,0.2584798414827558,0.2585393223729535,0.0001301694639520035,256,245760,sim1
tlr,0.25850330034000013,2.732641757619315e-5,0.2584258989052209,0.2585604491600647,0.25848381790449415,0.2585243795369859,5.345508726443413e-5,256,245760,sim1
pnorm,0.2555780246422553,9.097865829240641e-5,0.2553232290046692,0.2557868096599562,0.25552384277496454,0.2556513562335115,0.0002474847657573058,512,24576,sim1
mvnormcdf,0.255573838155697,6.565441397311603e-5,0.25539614991762616,0.2557491632597357,0.25553684395139303,0.2556120316520164,0.00021501608531684279,512,24576,sim1
mvnmvt,0.25557375839578345,0.00010912777565769091,0.25532709066609616,0.2558916698638255,0.25551382275922896,0.25564977345692885,0.00036998041662143587,512,24576,sim1
tlr,0.25557785527233157,0.00012986535681797066,0.25525739570274153,0.2558654806456825,0.25548030653885323,0.2556513797837021,0.0002280126933782695,512,24576,sim1
pnorm,0.25557791517723105,1.793087980148248e-5,0.2555356200005315,0.2556194973488929,0.2555677839150433,0.25558750638404687,5.0974738221323796e-5,512,245760,sim1
mvnormcdf,0.255575077758073,1.563825474655301e-5,0.25554873158734703,0.2556200413114633,0.25556500887592554,0.255585815649361,4.102698823282889e-5,512,245760,sim1
mvnmvt,0.25557144924390673,4.433499234693721e-5,0.25541812980177536,0.25568468404441524,0.25555195891732846,0.2555944256929231,0.00012253354491578876,512,245760,sim1
tlr,0.2555771231388223,2.932437209824745e-5,0.2555034693036566,0.2556562277832763,0.2555511571152485,0.25559388192126625,5.162827683519291e-5,512,245760,sim1
pnorm,0.2535993108034964,6.69081946566716e-5,0.2534694341275599,0.2538183179049338,0.25354473384722864,0.2536536899291733,0.0001960178557026043,1024,24576,sim2
