method,median,sd,min,max,Q1,Q3,se_est,n,n_pts
pnorm,0.2557225252012515,0.00010908219316757925,0.255645392442756,0.255799657959747,0.2556839588220038,0.25576109158049926,0.0003123225406773655,512,12000
mvnormcdf,0.2555170446320065,2.0696799425984967e-5,0.2555024097847835,0.25553167947922945,0.255509727208395,0.25552436205561796,0.0003121505745673788,512,12000
mvnmvt,0.25572277716566666,0.00014886332517380962,0.2556175148989663,0.25582803943236704,0.25567014603231647,0.25577540829901685,0.0003626445196416437,512,12000
tlr,0.255596322763492,2.7005246956104675e-5,0.25557722717024167,0.25561541835674223,0.2555867749668668,0.2556058705601171,3.8067447440481516e-5,512,12000
pnorm,0.2536849030517455,0.0002497911876233584,0.2535082740090964,0.25386153209439466,0.253596588530421,0.2537732175730701,0.0006335389392441845,1024,2400
mvnormcdf,0.25321915450807,8.660219779222839e-5,0.25315791750674543,0.2532803915093945,0.2531885360074077,0.25324977300873225,0.0006967899313595444,1024,2400
pnorm,0.25362785759903117,3.386421311631732e-5,0.2536039119842971,0.2536518032137653,0.25361588479166414,0.25363983040639826,0.00032445906878987937,1024,12000
mvnormcdf,0.2537032005702791,0.00014513848837591754,0.25360057216093734,0.2538058289796209,0.2536518863656082,0.25375451477495004,0.0002652974156803334,1024,12000
pnorm,0.2523119175602295,0.00017914956530392834,0.25218523968775647,0.25243859543270253,0.25224857862399297,0.252375256496466,0.0005966617794643041,2048,2400
mvnormcdf,0.25226102171938347,0.00027782250982194236,0.2520645715387221,0.2524574719000448,0.2521627966290528,0.2523592468097141,0.000630507900882759,2048,2400
pnorm,0.2522922888516258,0.00015162096206597267,0.2521850766411789,0.25239950106207265,0.2522386827464024,0.2523458949568492,0.00021486049774129104,2048,12000
mvnormcdf,0.25226316358628664,3.195783284127161e-5,0.25224056598597255,0.25228576118660073,0.2522518647861296,0.2522744623864437,0.0002429062798042579,2048,12000
pnorm,0.2512009643720916,3.6009073103743447e-6,0.251198418146114,0.25120351059806917,0.2511996912591028,0.25120223748508036,0.0004868450017372304,4096,2400
mvnormcdf,0.25141161166232884,0.00023792402007437443,0.2512433739743271,0.2515798493503306,0.251327492818328,0.25149573050632973,0.0004399817870967274,4096,2400
pnorm,0.25134629369743144,3.1307655593595453e-5,0.25132415584185813,0.2513684315530047,0.25133522476964476,0.2513573626252181,0.00014836983351264454,4096,12000
mvnormcdf,0.25137375640749837,7.315131386608557e-5,0.25132203061741093,0.25142548219758576,0.2513478935124547,0.25139961930254207,0.00022448433015725405,4096,12000
