method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
pnorm_sparse,0.25006728027909403,4.290997718865078e-7,0.2500660790741996,0.2500686515316577,0.25006710201276483,0.2500675452166141,1.0995637377866832e-6,4096,24576,mattern_cov2
pnorm_sparse32,0.2500673830509186,1.7716706981281069e-6,0.2500622272491455,0.25007256865501404,0.2500660717487335,0.2500683069229126,5.6145298913179434e-6,4096,24576,mattern_cov2
pnorm_sparse,0.2500672660992819,1.3294442175450386e-7,0.2500669112784546,0.250067669128458,0.25006718230763053,0.250067325739461,3.903375414154168e-7,4096,245760,mattern_cov2
pnorm_sparse32,0.25007037818431854,1.8450947752339483e-5,0.2500317096710205,0.25011005997657776,0.2500562220811844,0.2500847354531288,5.566899770201417e-5,4096,245760,mattern_cov2
pnorm_sparse,0.6981817325071524,0.0006484703999704229,0.6962847802861322,0.6996636157933205,0.6977576733477936,0.6987502681540597,0.0019365251312400498,256,24576,fixed_dense
pnorm_sparse32,0.6981344819068909,0.0006475322631267523,0.6965546011924744,0.6996670365333557,0.6976733505725861,0.6985509991645813,0.0019815794145688413,256,24576,fixed_dense
pnorm_sparse,0.6981064054161192,0.0003273311142326056,0.6971974257558372,0.6988363330520375,0.6978829400619098,0.6983059028647081,0.0009075866530478169,256,245760,fixed_dense
pnorm_sparse32,0.6980742514133453,0.0003042018174821624,0.6971580386161804,0.6989152431488037,0.6978916078805923,0.6983150541782379,0.0009070488502038643,256,245760,fixed_dense
pnorm_sparse,0.7389236681825634,0.0006364074261422676,0.7368356818508769,0.7412291081347268,0.7386310034099417,0.7393428021771744,0.00199355331497389,512,24576,fixed_dense
pnorm_sparse32,0.7389119863510132,0.0006214201137605852,0.737189769744873,0.7401822209358215,0.7384785413742065,0.7392857074737549,0.002006552319508046,512,24576,fixed_dense
pnorm_sparse,0.738886501273352,0.0002840125439874218,0.7379516338650015,0.7395653530633935,0.7387014573471287,0.7390125067783554,0.0008515569279142028,512,245760,fixed_dense
pnorm_sparse32,0.7388510704040527,0.00029075290222800853,0.7381448149681091,0.7396195530891418,0.7386554181575775,0.7390349358320236,0.0008682675915770233,512,245760,fixed_dense
pnorm_sparse,0.7737376387284105,0.0006998007378054758,0.7721728698081183,0.7754195996217855,0.773252231017714,0.7742000648236355,0.001927967407098351,1024,24576,fixed_dense
pnorm_sparse32,0.7738751173019409,0.0006246726546564495,0.7720024585723877,0.7753916382789612,0.7734359949827194,0.7742621004581451,0.0020761010295245797,1024,24576,fixed_dense
pnorm_sparse,0.7738165130290107,0.0002684070133236036,0.7732119842908284,0.7745059233518209,0.7736429194620247,0.7740377693388624,0.0007805355127122938,1024,245760,fixed_dense
pnorm_sparse32,0.7738095819950104,0.0002455271185268148,0.7732422947883606,0.7743750214576721,0.773629441857338,0.773955911397934,0.0007782889742520638,1024,245760,fixed_dense
pnorm_sparse,0.8038283266149936,0.0007289560045924991,0.8021309599018586,0.8053021352712127,0.8032381319276134,0.8042098475871688,0.0019897278404539327,2048,24576,fixed_dense
pnorm_sparse32,0.8038049936294556,0.0006339207678390444,0.8020431399345398,0.8051667809486389,0.8032859265804291,0.8042195290327072,0.002069530070293695,2048,24576,fixed_dense
pnorm_sparse,0.8038975263853437,0.00022650128239663496,0.8033617481264734,0.804340414377123,0.8037226854297984,0.8040319960911618,0.0006744867323342184,2048,245760,fixed_dense
pnorm_sparse32,0.8038440346717834,0.0002335010935707603,0.8030421733856201,0.8044023513793945,0.803696870803833,0.8039756119251251,0.0006760783615754918,2048,245760,fixed_dense
pnorm_sparse,0.8296206989095797,0.0005700475279357164,0.8285165114650512,0.8314293397103216,0.8292271117997317,0.830022608607582,0.0020008123956224066,4096,24576,fixed_dense
