method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,matrix
tlr,0.2499999999999997,2.12170169251768e-16,0.2499999999999997,0.24999999999999972,0.2499999999999997,0.24999999999999972,8.25434056107295e-18,512,245760,mattern_cov2
pnorm,0.25000000000002787,8.846669865649684e-16,0.25000000000002537,0.2500000000000302,0.2500000000000273,0.25000000000002837,2.9069500300511825e-15,1024,24576,mattern_cov2
pnorm32,0.2499949187040329,1.2689207291734424e-8,0.24999487400054932,0.2499949187040329,0.2499949187040329,0.2499949187040329,2.1154526548272655e-8,1024,24576,mattern_cov2
pnorm_sparse,0.25000000000002937,1.9630120213081323e-16,0.2500000000000293,0.25000000000002953,0.25000000000002937,0.2500000000000294,1.271071664711639e-16,1024,24576,mattern_cov2
pnorm_sparse32,0.2499948889017105,2.1547043486869983e-8,0.24999482929706573,0.2499949336051941,0.24999487400054932,0.2499948889017105,2.1687495292965764e-8,1024,24576,mattern_cov2
tlr,0.2500000000000286,8.417388767016142e-16,0.2500000000000264,0.25000000000003064,0.25000000000002803,0.2500000000000291,7.887062707399832e-16,1024,24576,mattern_cov2
pnorm,0.2500000000000278,5.928281813129404e-16,0.25000000000002637,0.25000000000002925,0.2500000000000275,0.25000000000002826,1.925852074796377e-15,1024,245760,mattern_cov2
pnorm32,0.24999499320983887,2.5547535419131126e-9,0.24999497830867767,0.24999499320983887,0.24999499320983887,0.24999499320983887,1.5152962866693543e-8,1024,245760,mattern_cov2
pnorm_sparse,0.25000000000002937,1.1158161231197418e-16,0.25000000000002937,0.25000000000002937,0.25000000000002937,0.25000000000002937,4.702185762348757e-17,1024,245760,mattern_cov2
pnorm_sparse32,0.2499949187040329,1.7206378853011898e-8,0.24999487400054932,0.2499949336051941,0.2499949187040329,0.2499949224293232,2.326094021398717e-8,1024,245760,mattern_cov2
tlr,0.2500000000000101,4.1525753268909515e-16,0.2500000000000093,0.25000000000001066,0.25000000000000994,0.2500000000000103,2.3598447457611474e-16,1024,245760,mattern_cov2
pnorm,0.25000007259418167,1.5530580499653966e-9,0.25000006936640123,0.2500000766475196,0.2500000715677044,0.25000007378425393,4.5705434507178e-9,2048,24576,mattern_cov2
pnorm32,0.2500116527080536,5.1095070838262284e-9,0.2500116229057312,0.2500116527080536,0.2500116527080536,0.2500116527080536,2.910785218190881e-8,2048,24576,mattern_cov2
pnorm_sparse,0.250000073014562,2.4573244498741266e-10,0.2500000724871528,0.25000007373666044,0.25000007289191567,0.2500000732133069,7.477248426697029e-10,2048,24576,mattern_cov2
pnorm_sparse32,0.2500046193599701,2.479188192596246e-8,0.2500045597553253,0.25000467896461487,0.2500045895576477,0.2500046193599701,4.398325202714659e-8,2048,24576,mattern_cov2
