method,median,sd,min,max,Q1,Q3,se_est,n,n_pts,sim
pnorm,0.2522356303627778,5.6120572854975625e-5,0.2521078632775891,0.2524037911916186,0.25220364898738223,0.2522762052807447,0.0001710078893816636,2048,24576,sim2
mvnormcdf,0.25224957011939386,5.4972015699773446e-5,0.252109250643892,0.25237518907939416,0.2522124908848273,0.25228656486739853,0.00017056151662406922,2048,24576,sim2
tlr,0.2522630868594783,8.378659706272343e-5,0.2520595492370629,0.2524713994331437,0.25220487978561235,0.25232460375675225,0.00015379444593057373,2048,24576,sim2
pnorm,0.2522459078426861,1.601117515999686e-5,0.25220446943952307,0.2522880221450437,0.25223595947159405,0.2522577433251647,4.7499533850152324e-5,2048,245760,sim2
mvnormcdf,0.2522429124861689,1.680518419825706e-5,0.25219753534149153,0.2522754624336823,0.2522346183399193,0.25225503610024896,4.9673174673499864e-5,2048,245760,sim2
tlr,0.2522445044759839,2.3311983544688934e-5,0.2521981671980419,0.2523092600583115,0.25222690877406473,0.2522584296905427,4.4993830692675455e-5,2048,245760,sim2
pnorm,0.2513787332762438,4.3822242700029394e-5,0.25127869971453254,0.2514829532667578,0.25134382346467843,0.25141012121706713,0.00012964989106846732,4096,24576,sim2
mvnormcdf,0.25138086685987937,4.660246556531509e-5,0.25125887307840583,0.2514749709541836,0.2513508808145753,0.25141415196598627,0.00013220011169264324,4096,24576,sim2
tlr,0.251379638582627,7.024836544994352e-5,0.2512106855999131,0.25153672358928547,0.25133076340817784,0.2514246246186766,0.0001298475414137302,4096,24576,sim2
pnorm,0.25137540190646146,1.3214841089982863e-5,0.25134268255986486,0.25141944275892997,0.2513680155755256,0.2513822688810839,4.0610942067152084e-5,4096,245760,sim2
mvnormcdf,0.2513790105244186,1.3158383073148723e-5,0.251351434010503,0.25140831776176353,0.25136925145517064,0.251387786696792,3.8486776920411527e-5,4096,245760,sim2
tlr,0.251377032121089,1.922770086310017e-5,0.2513265968824619,0.2514182608946224,0.25136503211980155,0.2513890300765847,3.7158136935228285e-5,4096,245760,sim2
