name,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10
ABBV,-0.8714907789077725,-1.4531670797518708,-1.8549136201192429,-2.1546062371505164,-2.4111538077722314,-2.562319777840053,-2.7414853963658756,-2.961836227612837,-2.961836227612837,-2.961836227612837
PLTR,-0.3588638159592546,-0.6697294052319623,-0.952370547487631,-1.1956883947866819,-1.3780695423592615,-1.5754547508709558,-1.8041223978791954,-2.076163975232309,-2.186379135563689,-2.3041874888314804
BAC,-0.7054960234597378,-1.1878353038697755,-1.5337320713389797,-1.8116435531624624,-2.01077442309147,-2.162421309946964,-2.2847486017027,-2.4041430237710606,-2.5142545746632035,-2.5726168960788374
HD,-0.7964798664787446,-1.3281577061197483,-1.7393698948328384,-2.031460636644224,-2.2847486017027,-2.6054369881979067,-2.758243671798118,-2.961789141910216,-3.029837028801329,-3.0699424590340376
AMD,-0.3967618993615145,-0.7292962562427578,-1.0258981533137468,-1.2937592701343468,-1.509336844222889,-1.723919178249286,-1.8925426366225189,-2.053054536378272,-2.1868897485630843,-2.3116262784285535
9988.HK,-0.3495630214721344,-0.7744467160618729,-1.145505061392697,-1.5327667602933026,-1.8429703932215122,-2.0821000352593524,-2.3020326083360856,-2.5121443279304674,-2.599596864847446,-2.713051888472723
PG,-1.095881929513194,-1.7463722339753438,-2.142976289743136,-2.4326930212668962,-2.654088942641608,-2.758243671798118,-2.905191387241866,-3.169068054888483,-3.426366522732482,-3.6102880350485664
ORCL,-0.7114081988897828,-1.1678913622553506,-1.5105353885333281,-1.7411124869535166,-1.988140564040896,-2.1868897485630843,-2.390572138325214,-2.5521838702359307,-2.654088942641608,-2.794402495947033
005930.KS,-0.630618066813249,-1.1399550150182327,-1.5641869212830748,-1.9383295796057638,-2.224158808186101,-2.4162182788753834,-2.6151974322238423,-2.7396715236461704,-2.930650242241383,-3.068339178882371
GE,-0.7540262481609054,-1.2431999581811133,-1.6144110646041738,-1.908878878601049,-2.1243093055038123,-2.3402855421128654,-2.4880103093564743,-2.6413291991609484,-2.7758695696819626,-2.8800482509373944
CSCO,-0.756575581908294,-1.2178638115550469,-1.5526460283710277,-1.8176102805195051,-2.0284519178112332,-2.1953450008245587,-2.322861892455491,-2.4633754018317098,-2.654088942641608,-2.7758695696819626
UNH,-0.7980601216470423,-1.3290843102477075,-1.7552473631849272,-2.0626097876164935,-2.264375953059876,-2.4477462211583094,-2.5832502800030572,-2.7099735383976475,-2.8139479831547503,-2.9323172371449133
CVX,-0.8166462767049211,-1.3809189940671844,-1.8297416731633558,-2.1996321818220173,-2.5327638923707947,-2.680985395375806,-2.7758695696819626,-2.8346314809778623,-3.029837028801329,-3.115691259587702
IBM,-0.8928783686902739,-1.4846531655847548,-1.8379813903377575,-2.1279837495171936,-2.3646817036900085,-2.6170298751918515,-2.794402495947033,-2.961789141910216,-3.115691259587702,-3.3146523927384957
KO,-1.0744701415307412,-1.6893862457590374,-2.1279837495171936,-2.4796305340295475,-2.69519642312547,-2.7758695696819626,-2.994082558905509,-3.115691259587702,-3.3146523927384957,-3.6102880350485664
AZN,-0.8171814462996386,-1.4207981810012416,-1.850579962400739,-2.2354755556681742,-2.4401505072139695,-2.628985525095589,-2.7758695696819626,-2.994082558905509,-3.169068054888483,-3.169068054888483
WFC,-0.7714600097251156,-1.2955317060901255,-1.6315799380886258,-1.8834297845038726,-2.089054030422193,-2.259426639852963,-2.4401505072139695,-2.5521838702359307,-2.5832502800030572,-2.7253672237986515
ROG,-0.5873541253540902,-1.0475493002269218,-1.4103579630630307,-1.7222276286580331,-1.977195156806825,-2.2262437492770206,-2.4041430237710606,-2.5521838702359307,-2.6672960131867987,-2.794402495947033
CAT,-0.6981402905823506,-1.2235163567573726,-1.620081063355292,-1.9331384330576866,-2.2449019095076244,-2.471421344323008,-2.654088942641608,-2.8139479831547503,-2.994082558905509,-3.233360977747898
MRK,-0.859675606470847,-1.4789076071559184,-1.8834297845038726,-2.1996321818220173,-2.390572138325214,-2.594184027828096,-2.7758695696819626,-2.8566037537823714,-2.961789141910216,-3.169068054888483
MU,-0.40465413068626493,-0.7443830888794928,-1.064960023862587,-1.3555067628832855,-1.5868110888501887,-1.8077012815006883,-1.9799093313765461,-2.1584665855253675,-2.2953013781886913,-2.4326930212668962
NESN.SW,-1.094130165092753,-1.759615871410473,-2.2485406493088336,-2.575881691208725,-2.859598134363844,-3.072759870621543,-3.6127349225624044,-3.7127349225624044,-3.7127349225624044,-3.7127349225624044
SAP,-0.7074639997087356,-1.2251385681541471,-1.6087924973466357,-1.8834297845038726,-2.053054536378272,-2.2449019095076244,-2.4181716767148407,-2.6054369881979067,-2.794402495947033,-2.961789141910216
HSBA.L,-0.8675969998511676,-1.4495846720421803,-1.8475179684743748,-2.136505178984072,-2.375441848258664,-2.5873904056194674,-2.8604138058800146,-2.965484977326408,-3.172556696826953,-3.3180081737032414
PM,-0.9730978156170371,-1.596769460266699,-1.99128732866976,-2.324508469771788,-2.5104144167957347,-2.6696659057426446,-2.711427480624776,-2.876615418713217,-3.05733576287185,-3.2072974284199183
GS,-0.6816052302975562,-1.1847362852844843,-1.5854624860091489,-1.8834297845038726,-2.162421309946964,-2.3402855421128654,-2.4633754018317098,-2.628985525095589,-2.7099735383976475,-2.7758695696819626
NOVN.SW,-1.0562259002047698,-1.7116753065097292,-2.117266494855291,-2.4588758057984372,-2.7131020919132887,-2.964693738497563,-3.2360556394184044,-3.317289687285658,-3.4289286566635737,-3.7127349225624044
RTX,-0.8747503794932244,-1.4421562612810843,-1.8359097548658103,-2.1279837495171936,-2.397302394269086,-2.5832502800030572,-2.7099735383976475,-2.8566037537823714,-2.961789141910216,-3.169068054888483
TMO,-0.7959535566361299,-1.335602734660684,-1.7771308120741691,-2.1468007811965357,-2.4041430237710606,-2.5832502800030572,-2.794402495947033,-2.8800482509373944,-3.115691259587702,-3.6102880350485664
MCD,-0.9697705390799239,-1.613001644633655,-2.0723571582081686,-2.3343986285231986,-2.6054369881979067,-2.8139479831547503,-2.994082558905509,-3.169068054888483,-3.233360977747898,-3.3146523927384957
ABT,-0.8883190234562856,-1.5287799316542727,-2.0050191182998316,-2.289993113482879,-2.594184027828096,-2.7253672237986515,-2.8139479831547503,-2.994082558905509,-3.0699424590340376,-3.6102880350485664
SHEL,-0.7797456507675468,-1.3497652388292083,-1.7922066965933672,-2.113454802454823,-2.328591520473661,-2.4796305340295475,-2.680985395375806,-2.7758695696819626,-2.905191387241866,-3.029837028801329
RY,-0.9606091260161198,-1.5374710101402862,-1.988140564040896,-2.3061161280083855,-2.562266673910372,-2.7758695696819626,-2.8346314809778623,-2.961789141910216,-3.115691259587702,-3.169068054888483
CRM,-0.6092381092882933,-1.0432267844361511,-1.400565922540963,-1.7067339410756677,-1.9906424109433944,-2.263103414630236,-2.3951324539667898,-2.5643197689718265,-2.696133579308525,-2.8457643678340383
BRK-B,-1.0629346414791006,-1.710522524184857,-2.117045310895952,-2.397302394269086,-2.6170298751918515,-2.8346314809778623,-3.0699424590340376,-3.233360977747898,-3.3146523927384957,-3.6102880350485664
7203.T,-0.7149094070378943,-1.2986760219040956,-1.7501858670185053,-2.128850940633859,-2.4452013526548875,-2.5917560751783224,-2.811677798563135,-2.9596146887607326,-3.067833360084542,-3.1670156818673907
AMAT,-0.5383950719474364,-0.9593936900628274,-1.3026624887879312,-1.5655707111011412,-1.8096689017131373,-2.031460636644224,-2.254532061700739,-2.4181716767148407,-2.654088942641608,-2.8566037537823714
ISRG,-0.6334140952966327,-1.0749913963198003,-1.396660902474439,-1.6573582178434654,-1.8341943106755112,-2.015064579636539,-2.1674671379855384,-2.2885655451469225,-2.351857090320776,-2.490269324908507
PEP,-1.0986814892108192,-1.7307351892655696,-2.2083298544007097,-2.5521838702359307,-2.7758695696819626,-2.961789141910216,-3.115691259587702,-3.169068054888483,-3.169068054888483,-3.169068054888483
LRCX,-0.5015326154799491,-0.8963100944494243,-1.205880455212517,-1.4720767507779235,-1.7072208758585978,-1.9065138116229907,-2.120663321028304,-2.3116262784285535,-2.4181716767148407,-2.5832502800030572
AXP,-0.7730095214735158,-1.2251385681541471,-1.5827738977812327,-1.867848813631727,-2.1063544601762274,-2.3061161280083855,-2.425368421939968,-2.5327638923707947,-2.69519642312547,-2.794402495947033
