Ticker,Holding name,% of market value,Sector,Region,Market value,Shares,yticker
489,Dongfeng Motor Group Co Ltd,0.0036%,Consumer Discretionary,HK,"US$1,845,766.54","1,562,000",489250.KS
257,China Everbright Environment Group Ltd,0.0035%,Utilities,HK,"US$1,842,016.84","2,856,814",2573.T
WAAREEEN,WAAREE Energies Ltd,0.0035%,Energy,IN,"US$1,841,874.81","51,931",WAAREEENER.BO
9072,Nikkon Holdings Co Ltd,0.0035%,Industrials,JP,"US$1,840,800.38","77,700",9072.T
RY,Royal Bank of Canada,0.0035%,Financials,US,"US$1,840,913.23","11,947",RY
9041,Kintetsu Group Holdings Co Ltd,0.0035%,Industrials,JP,"US$1,830,169.18","96,600",9041.T
IIB,IndusInd Bank Ltd,0.0035%,Financials,IN,"US$1,827,231.67","190,369",0P0001JDMB.MX
MRF,MRF Ltd,0.0035%,Consumer Discretionary,IN,"US$1,814,777.38","1,065",MRF.JO
7649,Sugi Holdings Co Ltd,0.0035%,Consumer Staples,JP,"US$1,809,340.60","76,600",7649.T
ADANIGR,Adani Green Energy Ltd,0.0035%,Utilities,IN,"US$1,799,497.40","153,559",ADANIGREEN.NS
EMAARDEV,Emaar Development PJSC,0.0035%,Real Estate,AE,"US$1,795,590.48","448,635",EMAARDEV.AE
AC,Ayala Corp,0.0035%,Real Estate,PH,"US$1,796,730.33","221,830",XCBEU
4042,Tosoh Corp,0.0035%,Basic Materials,JP,"US$1,796,994.23","119,100",4042.T
DOW,Downer EDI Ltd,0.0035%,Industrials,AU,"US$1,793,483.90","345,740",DOW
601857,PetroChina Co Ltd,0.0035%,Energy,CN,"US$1,795,121.62","1,301,500",601857.SS
135,Kunlun Energy Co Ltd,0.0034%,Energy,HK,"US$1,788,406.80","1,874,000",135A.T
3249,Industrial & Infrastructure Fund Investment Corp,0.0034%,Real Estate,JP,"US$1,783,143.86","1,844",3249.T
CVC,CVC Capital Partners PLC,0.0034%,Financials,NL,"US$1,778,619.16","107,624",CVCO
1209,China Resources Mixc Lifestyle Services Ltd,0.0034%,Real Estate,HK,"US$1,777,217.43","312,200",1209.HK
4980,Dexerials Corp,0.0034%,Technology,JP,"US$1,781,756.81","93,100",4980.TWO
5838,Rakuten Bank Ltd,0.0034%,Financials,JP,"US$1,776,410.12","37,400",5838.T
PI,PI Industries Ltd,0.0034%,Basic Materials,IN,"US$1,774,910.18","46,755",PI
ENELCHIL,Enel Chile SA,0.0034%,Utilities,CL,"US$1,767,906.26","22,688,456",ENELCHILE.SN
TTKOM,Turk Telekomunikasyon AS,0.0034%,Telecommunications,TR,"US$1,769,355.99","1,348,281",TTKOM.IS
9698,GDS Holdings Ltd,0.0034%,Technology,HK,"US$1,767,038.22","413,385",9698.T
1969,Takasago Thermal Engineering Co Ltd,0.0034%,Industrials,JP,"US$1,758,005.77","60,400",1969.HK
PPC,Public Power Corp SA,0.0034%,Utilities,GR,"US$1,754,881.78","86,903",PPC
QIIK,Qatar International Islamic Bank QSC,0.0034%,Financials,QA,"US$1,749,241.40","576,379",QIIK.QA
LREN3,Lojas Renner SA,0.0034%,Consumer Discretionary,BR,"US$1,747,232.46","592,750",LREN3.SA
2809,Kewpie Corp,0.0034%,Consumer Staples,JP,"US$1,744,498.56","61,800",2809.T
142,First Pacific Co Ltd,0.0034%,Consumer Staples,HK,"US$1,742,172.09","2,166,750",142280.KQ
3405,Kuraray Co Ltd,0.0034%,Basic Materials,JP,"US$1,744,179.43","177,200",340570.KQ
4021,Nissan Chemical Corp,0.0033%,Basic Materials,JP,"US$1,735,422.62","51,300",4021.T
1972,Swire Properties Ltd,0.0033%,Real Estate,HK,"US$1,739,395.81","634,000",1972.T
1605,Walsin Lihwa Corp,0.0033%,Industrials,TW,"US$1,735,083.13","1,845,952",160550.KQ
425,Minth Group Ltd,0.0033%,Consumer Discretionary,HK,"US$1,731,381.01","396,000",425420.KQ
OMU,Old Mutual Ltd,0.0033%,Financials,ZA,"US$1,731,798.77","2,138,528",OMU.JO
MISC,MISC Bhd,0.0033%,Industrials,MY,"US$1,732,722.83","953,459",3816.KL
AUBANK,AU Small Finance Bank Ltd,0.0033%,Financials,IN,"US$1,728,030.94","161,809",AUBANK.BO
6818,China Everbright Bank Co Ltd,0.0033%,Financials,HK,"US$1,727,805.18","3,540,000",6818.TWO
TEVA,Teva Pharmaceutical Industries Ltd,0.0033%,Health Care,US,"US$1,725,988.43","64,187",TEVA
5347,Vanguard International Semiconductor Corp,0.0033%,Technology,TW,"US$1,724,880.69","598,181",5347.KL
6406,Fujitec Co Ltd,0.0033%,Industrials,JP,"US$1,723,775.07","47,300",6406.T
2474,Catcher Technology Co Ltd,0.0033%,Technology,TW,"US$1,716,361.32","268,000",2474.TW
4186,Tokyo Ohka Kogyo Co Ltd,0.0033%,Basic Materials,JP,"US$1,716,674.78","44,700",418660.KS
SKBN,Shikun & Binui Ltd,0.0033%,Industrials,IL,"US$1,715,650.15","303,888.5",SKBNF
2282,NH Foods Ltd,0.0033%,Consumer Staples,JP,"US$1,708,244.79","38,600",2282.T
BUPA,Bupa Arabia for Cooperative Insurance Co,0.0033%,Financials,SA,"US$1,706,656.89","43,554",NIVABUPA.BO
PEPL,Prestige Estates Projects Ltd,0.0033%,Real Estate,IN,"US$1,707,949.79","91,082",PEPLO-USD
LUNDB,L E Lundbergforetagen AB,0.0033%,Financials,SE,"US$1,702,757.60","31,992",LU3B.F
2587,Suntory Beverage & Food Ltd,0.0033%,Consumer Staples,JP,"US$1,700,911.25","53,600",2587.T
1944,Kinden Corp,0.0033%,Industrials,JP,"US$1,703,582.19","41,000",194480.KQ
1913,PRADA SpA,0.0033%,Consumer Discretionary,HK,"US$1,700,419.24","287,300",1913.HK
SBICARD,SBI Cards & Payment Services Ltd,0.0033%,Financials,IN,"US$1,698,210.55","172,585",SBICARD.NS
SAHOL,Haci Omer Sabanci Holding AS,0.0033%,Financials,TR,"US$1,694,603.68","879,011",SAHOL.IS
9904,Pou Chen Corp,0.0033%,Consumer Discretionary,TW,"US$1,691,604.27","1,735,000",9904.T
4768,Otsuka Corp,0.0033%,Technology,JP,"US$1,691,371.36","85,500",4768.T
NYKAA,FSN E-Commerce Ventures Ltd,0.0032%,Consumer Discretionary,IN,"US$1,687,632.42","564,717",NYKAA.NS
3288,Open House Group Co Ltd,0.0032%,Real Estate,JP,"US$1,687,239.99","28,700",3288.HK
6990,Sichuan Kelun-Biotech Biopharmaceutical Co Ltd,0.0032%,Health Care,HK,"US$1,682,423.96","28,700",6990.TWO
6465,Hoshizaki Corp,0.0032%,Industrials,JP,"US$1,678,429.99","49,700",6465.T
YANSAB,Yanbu National Petrochemical Co,0.0032%,Basic Materials,SA,"US$1,676,333.21","206,457",2290.SR
SAE,Shufersal Ltd,0.0032%,Consumer Staples,IL,"US$1,676,175.82","139,922",SAENF
4626,Taiyo Holdings Co Ltd,0.0032%,Basic Materials,JP,"US$1,672,284.52","56,000",4626.T
ANN,Ansell Ltd,0.0032%,Health Care,AU,"US$1,661,001.50","67,559",NLY
6770,Alps Alpine Co Ltd,0.0032%,Technology,JP,"US$1,660,458.19","127,800",6770.TW
4183,Mitsui Chemicals Inc,0.0032%,Basic Materials,JP,"US$1,659,652.68","65,800",4183.T
TWE,Treasury Wine Estates Ltd,0.0032%,Consumer Staples,AU,"US$1,660,979.54","435,181",XXI
CNA,CNA Financial Corp,0.0032%,Financials,US,"US$1,656,960.25","35,443",CNA
1951,EXEO Group Inc,0.0032%,Industrials,JP,"US$1,654,794.62","105,100",1951.T
MGDL,Migdal Insurance & Financial Holdings Ltd,0.0032%,Financials,IL,"US$1,653,154.44","407,728",MGDL.TA
7313,TS Tech Co Ltd,0.0032%,Consumer Discretionary,JP,"US$1,653,834.35","143,100",7313.T
4151,Kyowa Kirin Co Ltd,0.0032%,Health Care,JP,"US$1,648,592.76","97,800",4151.T
CHOLAHLD,Cholamandalam Financial Holdings Ltd,0.0032%,Financials,IN,"US$1,645,279.53","79,713",CHOLAHLDNG.BO
600690,Haier Smart Home Co Ltd,0.0032%,Consumer Discretionary,CN,"US$1,644,511.56","421,500",600690.SS
AXIA6,Axia Energia,0.0032%,Utilities,BR,"US$1,639,620.64","130,700",AXIA6.SA
KDCREIT,Keppel DC REIT,0.0032%,Real Estate,SG,"US$1,639,364.27","919,144",AJBU.SI
000166,Shenwan Hongyuan Group Co Ltd,0.0031%,Financials,CN,"US$1,635,495.37","2,244,900",000166.SZ
016360,Samsung Securities Co Ltd,0.0031%,Financials,KR,"US$1,635,154.25","30,517",016360.KS
9064,Yamato Holdings Co Ltd,0.0031%,Industrials,JP,"US$1,633,599.49","113,400",9064.T
2600,Aluminum Corp of China Ltd,0.0031%,Basic Materials,HK,"US$1,630,304.67","1,210,000",2600.HK
600989,Ningxia Baofeng Energy Group Co Ltd,0.0031%,Basic Materials,CN,"US$1,624,302.05","637,895",600989.SS
