Ticker,Holding name,% of market value,Sector,Region,Market value,Shares,yticker
2331,ALSOK Co Ltd,0.0049%,Industrials,JP,"US$2,570,360.78","327,700",2331.T
SCI,Sembcorp Industries Ltd,0.0049%,Utilities,SG,"US$2,567,202.25","542,400",SCI
6525,Kokusai Electric Corp,0.0049%,Technology,JP,"US$2,560,256.33","93,000",6525.TW
LPP,LPP SA,0.0049%,Consumer Discretionary,PL,"US$2,557,017.65",548,1RY.F
MOTV3,Motiva Infraestrutura de Mobilidade SA,0.0049%,Industrials,BR,"US$2,551,685.12","853,736",MOTV3.SA
GFC,Gecina SA,0.0049%,Real Estate,FR,"US$2,543,712.94","27,432",GFC-M.TA
AAK,AAK AB,0.0049%,Consumer Staples,SE,"US$2,537,487.78","90,109",AAK.ST
601633,Great Wall Motor Co Ltd,0.0049%,Consumer Discretionary,CN,"US$2,540,715.38","820,100",601633.SS
FALAB,Falabella SA,0.0049%,Consumer Discretionary,CL,"US$2,532,932.86","392,136",FALABELLA.SN
6446,PharmaEssentia Corp,0.0049%,Health Care,TW,"US$2,536,069.71","154,253",6446.TW
2356,Inventec Corp,0.0049%,Technology,TW,"US$2,535,287.56","1,825,000",2356.TW
2408,Nanya Technology Corp,0.0049%,Technology,TW,"US$2,525,983.75","543,000",2408.TW
IMCD,IMCD NV,0.0049%,Basic Materials,NL,"US$2,527,298.50","28,179",IMCD.AS
000623,Jilin Aodong Pharmaceutical Group Co Ltd,0.0049%,Health Care,CN,"US$2,526,181.33","934,945",000623.SZ
BC8,Bechtle AG,0.0049%,Technology,DE,"US$2,528,241.89","49,065",BC8.DE
241,Alibaba Health Information Technology Ltd,0.0049%,Consumer Staples,HK,"US$2,528,306.10","3,534,000",2415.TW
3045,Taiwan Mobile Co Ltd,0.0048%,Telecommunications,TW,"US$2,518,910.31","732,000",3045.TW
002004,Huapont Life Sciences Co Ltd,0.0048%,Health Care,CN,"US$2,508,359.62","3,701,768",002004.SZ
000869,Yantai Changyu Pioneer Wine Co Ltd,0.0048%,Consumer Staples,CN,"US$2,507,317.21","842,000",000869.SZ
1357,Meitu Inc,0.0048%,Technology,HK,"US$2,506,897.35","2,269,500",1357.HK
358,Jiangxi Copper Co Ltd,0.0048%,Basic Materials,HK,"US$2,502,286.27","635,000",3580.TWO
AOT/F,Airports of Thailand PCL,0.0048%,Industrials,TH,"US$2,502,854.48","1,852,400",TX3A.F
NWS,News Corp,0.0048%,Consumer Discretionary,US,"US$2,497,076.64","84,848",NWS
601878,Zheshang Securities Co Ltd,0.0048%,Financials,CN,"US$2,495,793.58","1,611,200",601878.SS
600663,Shanghai Lujiazui Finance & Trade Zone Development Co Ltd,0.0048%,Real Estate,CN,"US$2,489,735.25","2,154,200",600663.SS
3563,Food & Life Cos Ltd,0.0048%,Consumer Discretionary,JP,"US$2,486,741.43","55,200",3563.TW
1816,CGN Power Co Ltd,0.0048%,Utilities,HK,"US$2,488,806.26","6,395,000",1816.HK
12,Henderson Land Development Co Ltd,0.0048%,Real Estate,HK,"US$2,475,724.55","656,953",1211.HK
003230,Samyang Foods Co Ltd,0.0048%,Consumer Staples,KR,"US$2,478,013.12","2,522",003230.KS
9024,Seibu Holdings Inc,0.0048%,Consumer Discretionary,JP,"US$2,477,138.30","79,719",9024.T
603501,OmniVision Integrated Circuits Group Inc,0.0048%,Technology,CN,"US$2,478,398.93","146,645",603501.SS
BSAN,Banco Santander Chile,0.0047%,Financials,CL,"US$2,473,304.27","32,985,321",BSAN.NE
7261,Mazda Motor Corp,0.0047%,Consumer Discretionary,JP,"US$2,469,114.39","337,100",7261.HK
AZRG,Azrieli Group Ltd,0.0047%,Real Estate,IL,"US$2,470,376.09","24,364",AZRG.TA
R3NK,RENK Group AG,0.0047%,Industrials,DE,"US$2,466,173.87","42,121",R3NK.F
AMM,AMMB Holdings Bhd,0.0047%,Financials,MY,"US$2,467,828.19","1,714,000",AMMPF
600276,Jiangsu Hengrui Pharmaceuticals Co Ltd,0.0047%,Health Care,CN,"US$2,468,121.19","281,041",600276.SS
600958,Orient Securities Co Ltd/China,0.0047%,Financials,CN,"US$2,458,568.10","1,669,500",600958.SS
TOTS3,TOTVS SA,0.0047%,Technology,BR,"US$2,450,018.04","305,863",TOTS3.SA
000012,CSG Holding Co Ltd,0.0047%,Industrials,CN,"US$2,445,228.25","3,693,418",000012.SZ
JARIR,Jarir Marketing Co,0.0047%,Consumer Discretionary,SA,"US$2,441,117.09","721,081",4190.SR
A2A,A2A SpA,0.0047%,Utilities,IT,"US$2,441,840.01","891,919",AEMMF
2897,Nissin Foods Holdings Co Ltd,0.0047%,Consumer Staples,JP,"US$2,434,412.05","134,000",2897.TW
096770,SK Innovation Co Ltd,0.0047%,Energy,KR,"US$2,428,008.02","31,050",096770.KS
8359,Hachijuni Bank Ltd/The,0.0047%,Financials,JP,"US$2,422,580.26","225,900",8359.TWO
2768,Sojitz Corp,0.0047%,Industrials,JP,"US$2,425,749.18","82,940",2768.T
4,Wharf Holdings Ltd/The,0.0047%,Real Estate,HK,"US$2,418,927.25","798,000",SPYU
000088,Shenzhen Yan Tian Port Holding Co Ltd,0.0046%,Industrials,CN,"US$2,407,768.48","3,859,500",000088.SZ
EDEN,Edenred SE,0.0046%,Industrials,FR,"US$2,408,488.34","112,239",EDEN
603993,CMOC Group Ltd,0.0046%,Basic Materials,CN,"US$2,409,146.90","1,049,300",603993.SS
BHFC,Bharat Forge Ltd,0.0046%,Basic Materials,IN,"US$2,409,284.12","150,303",BHARATFORG.NS
2207,Hotai Motor Co Ltd,0.0046%,Consumer Discretionary,TW,"US$2,406,958.74","123,840",2207.T
VOLT,Voltas Ltd,0.0046%,Industrials,IN,"US$2,397,829.33","155,838",VOLT
6645,Omron Corp,0.0046%,Industrials,JP,"US$2,396,068.57","93,500",6645.TW
3231,Nomura Real Estate Holdings Inc,0.0046%,Real Estate,JP,"US$2,391,911.89","389,500",3231.TW
GVTD,GE Vernova T&D India Ltd,0.0046%,Industrials,IN,"US$2,393,094.55","74,289",GVTD.BO
ADEN,Adecco Group AG,0.0046%,Industrials,CH,"US$2,389,579.53","85,428",ADEN.TO
CLGT,Colgate-Palmolive India Ltd,0.0046%,Consumer Staples,IN,"US$2,385,114.52","98,378",COLPAL.BO
9863,Zhejiang Leapmotor Technology Co Ltd,0.0046%,Consumer Discretionary,HK,"US$2,381,923.04","349,900",9863.HK
VZN,VZ Holding AG,0.0046%,Financials,CH,"US$2,370,996.95","12,760",VZN.SW
RAA,Rational AG,0.0046%,Consumer Discretionary,DE,"US$2,369,986.97","3,171",RAA
300059,East Money Information Co Ltd,0.0046%,Financials,CN,"US$2,372,023.37","716,569",300059.SZ
MCX,Multi Commodity Exchange of India Ltd,0.0046%,Financials,IN,"US$2,370,858.01","21,052",MCX.SG
SDF,Steadfast Group Ltd,0.0046%,Financials,AU,"US$2,367,698.49","695,645",SDF.DE
MIN,Mineral Resources Ltd,0.0045%,Basic Materials,AU,"US$2,360,280.04","73,331",MIN
9962,MISUMI Group Inc,0.0045%,Industrials,JP,"US$2,358,564.56","163,000",9962.TWO
010130,Korea Zinc Co Ltd,0.0045%,Basic Materials,KR,"US$2,354,305.92","2,580",010130.KS
WPP,WPP PLC,0.0045%,Consumer Discretionary,GB,"US$2,353,171.25","584,588",WPP
EGIE3,Engie Brasil Energia SA,0.0045%,Utilities,BR,"US$2,350,240.31","409,850",EGIE3F.SA
3529,eMemory Technology Inc,0.0045%,Technology,TW,"US$2,345,706.55","36,000",3529.TWO
2018,AAC Technologies Holdings Inc,0.0045%,Technology,HK,"US$2,342,773.84","497,000",2018.HK
INDUA,Industrivarden AB,0.0045%,Financials,SE,"US$2,343,201.34","55,753",INDUAS.XD
COPEC,Empresas Copec SA,0.0045%,Energy,CL,"US$2,339,633.26","327,003",COPEC.SN
SIGN,SIG Group AG,0.0045%,Industrials,CH,"US$2,338,339.85","192,868",SIG
688256,Cambricon Technologies Corp Ltd,0.0045%,Technology,CN,"US$2,337,974.81","12,417",688256.SS
CENCOSUD,Cencosud SA,0.0045%,Consumer Staples,CL,"US$2,335,003.15","743,304",CENCOMALLS.SN
GULF/F,Gulf Development PCL,0.0045%,Utilities,TH,"US$2,334,121.27","1,844,099",GFC.KW
VEND,Schibsted ASA,0.0045%,Technology,NO,"US$2,329,995.85","83,850",VEND.OL
SOL,Sasol Ltd,0.0045%,Basic Materials,ZA,"US$2,333,046.85","359,023",SWKS
5844,Kyoto Financial Group Inc,0.0045%,Financials,JP,"US$2,329,125.28","106,900",5844.T
003670,POSCO Future M Co Ltd,0.0045%,Basic Materials,KR,"US$2,331,576.17","16,605",003670.KS
6770,Powerchip Semiconductor Manufacturing Corp,0.0045%,Technology,TW,"US$2,327,296.48","2,142,000",6770.TW
CAMT,Camtek Ltd/Israel,0.0045%,Technology,IL,"US$2,323,658.93","21,991",CAMT
3692,Hansoh Pharmaceutical Group Co Ltd,0.0045%,Health Care,HK,"US$2,324,676.33","450,000",3692.HK
032640,LG Uplus Corp,0.0045%,Telecommunications,KR,"US$2,319,843.16","226,539",032640.KS
5801,Furukawa Electric Co Ltd,0.0045%,Industrials,JP,"US$2,322,153.16","36,500",5801.T
RBI,Raiffeisen Bank International AG,0.0045%,Financials,AT,"US$2,317,775.52","57,159",RBI.VI
CD,ComfortDelGro Corp Ltd,0.0045%,Industrials,SG,"US$2,317,408.79","2,084,300",CD
BBSE3,BB Seguridade Participacoes SA,0.0045%,Financials,BR,"US$2,313,079.59","362,335",BBSE3.SA
MRP,Mr Price Group Ltd,0.0044%,Consumer Discretionary,ZA,"US$2,312,077.44","188,545",MRP
LAURUS,Laurus Labs Ltd,0.0044%,Health Care,IN,"US$2,311,430.06","200,467",LAURUSLABS.BO
5105,Toyo Tire Corp,0.0044%,Consumer Discretionary,JP,"US$2,300,406.28","83,600",5105.KL
OPAP,OPAP SA,0.0044%,Consumer Discretionary,GR,"US$2,299,845.83","112,468",OPAP.AT
3861,Oji Holdings Corp,0.0044%,Basic Materials,JP,"US$2,294,509.84","435,700",3861.T
POLYCAB,Polycab India Ltd,0.0044%,Industrials,IN,"US$2,292,840.49","27,455",POLYCAB.NS
MOL,MOL Hungarian Oil & Gas PLC,0.0044%,Energy,HU,"US$2,291,875.13","258,881",TAP
BOL,Bollore SE,0.0044%,Consumer Discretionary,FR,"US$2,295,121.12","413,727",BOLT
1171,Yankuang Energy Group Co Ltd,0.0044%,Energy,HK,"US$2,288,009.66","1,753,300",1171.KL
CGF,Challenger Ltd,0.0044%,Financials,AU,"US$2,284,898.17","392,358",ROB3.MU
005387,Hyundai Motor Co,0.0044%,Consumer Discretionary,KR,"US$2,276,188.83","17,193",005387.KS
KCHOL,KOC Holding AS,0.0044%,Energy,TR,"US$2,272,140.44","573,196",KCHOL.IS
018260,Samsung SDS Co Ltd,0.0044%,Technology,KR,"US$2,272,713.43","19,836",018260.KS
BC,Brunello Cucinelli SpA,0.0044%,Consumer Discretionary,IT,"US$2,272,191.60","21,360",BC
601880,Liaoning Port Co Ltd,0.0044%,Industrials,CN,"US$2,269,918.16","9,904,900",601880.SS
9684,Square Enix Holdings Co Ltd,0.0044%,Consumer Discretionary,JP,"US$2,268,726.69","113,400",9684.T
EVK,Evonik Industries AG,0.0044%,Basic Materials,DE,"US$2,264,751.07","147,057",EVK.DE
ICL,ICL Group Ltd,0.0044%,Basic Materials,IL,"US$2,262,876.89","409,279",ICL
GFS,GLOBALFOUNDRIES Inc,0.0043%,Technology,US,"US$2,255,303.68","62,927",GFS
TEP,Teleperformance SE,0.0043%,Industrials,FR,"US$2,256,063.44","32,815",TEP.PA
MASAR,Umm Al Qura for Development & Construction Co,0.0043%,Real Estate,SA,"US$2,259,098.24","427,162",6019.SR
3606,Fuyao Glass Industry Group Co Ltd,0.0043%,Industrials,HK,"US$2,259,532.98","261,200",3606.HK
VOW,Volkswagen AG,0.0043%,Consumer Discretionary,DE,"US$2,258,570.11","19,559",VOW3.DE
2633,Taiwan High Speed Rail Corp,0.0043%,Industrials,TW,"US$2,254,879.72","2,532,000",2633.TW
MLT,Mapletree Logistics Trust,0.0043%,Real Estate,SG,"US$2,244,960.07","2,202,697",MLTH.TA
VSURE,Verisure Group Topholding AB,0.0043%,Industrials,SE,"US$2,248,663.67","117,273",VSURE.ST
GRF,Grifols SA,0.0043%,Health Care,ES,"US$2,243,003.99","183,543",GRF
LTM,Latam Airlines Group SA,0.0043%,Consumer Discretionary,CL,"US$2,237,762.80","93,170,573",LTM
SUF,Sundaram Finance Ltd,0.0043%,Financials,IN,"US$2,233,579.23","42,251",000777.SZ
8354,Fukuoka Financial Group Inc,0.0043%,Financials,JP,"US$2,233,306.63","72,500",8354.T
2333,Great Wall Motor Co Ltd,0.0043%,Consumer Discretionary,HK,"US$2,232,348.18","1,161,000",2333.HK
268,Kingdee International Software Group Co Ltd,0.0043%,Technology,HK,"US$2,230,733.66","1,230,000",268A.T
042700,Hanmi Semiconductor Co Ltd,0.0043%,Technology,KR,"US$2,224,489.04","26,468",042700.KS
MINT,Mapletree Industrial Trust,0.0043%,Real Estate,SG,"US$2,226,150.38","1,399,611",MINT
SBID,State Bank of India,0.0043%,Financials,GB,"US$2,224,657.80","20,261",SBIDL.XC
2501,Sapporo Holdings Ltd,0.0043%,Consumer Staples,JP,"US$2,227,061.20","42,900",2501.HK
A2M,a2 Milk Co Ltd/The,0.0043%,Consumer Staples,AU,"US$2,210,858.87","351,537",A2M.AX
PAYTM,One 97 Communications Ltd,0.0042%,Industrials,IN,"US$2,204,909.99","149,344",PAYTM.NS
BELA,JUMBO SA,0.0042%,Consumer Discretionary,GR,"US$2,201,569.81","69,335",BELA.AT
002460,Ganfeng Lithium Group Co Ltd,0.0042%,Basic Materials,CN,"US$2,196,742.51","248,260",002460.KS
5101,Yokohama Rubber Co Ltd/The,0.0042%,Consumer Discretionary,JP,"US$2,190,667.09","55,200",5101.T
BRPT,Barito Pacific Tbk PT,0.0042%,Basic Materials,ID,"US$2,187,166.34","10,175,211",BRPT.JK
AKE,Arkema SA,0.0042%,Basic Materials,FR,"US$2,183,072.04","35,864",AKBA
SWECB,Sweco AB,0.0042%,Industrials,SE,"US$2,178,376.06","127,773",SWECBS.XC
1326,Formosa Chemicals & Fibre Corp,0.0042%,Basic Materials,TW,"US$2,182,190.09","2,050,540",1326.TW
4527,Rohto Pharmaceutical Co Ltd,0.0042%,Health Care,JP,"US$2,179,424.54","134,400",4527.TWO
FPE3,FUCHS SE,0.0042%,Basic Materials,DE,"US$2,180,655.82","47,787",FPE3D.XC
2376,Gigabyte Technology Co Ltd,0.0042%,Technology,TW,"US$2,180,133.82","281,000",237690.KQ
1208,MMG Ltd,0.0042%,Basic Materials,HK,"US$2,177,658.24","2,453,600",1208.HK
BIG,Big Shopping Centers Ltd,0.0042%,Real Estate,IL,"US$2,169,196.65","9,678",BBAI
2344,Winbond Electronics Corp,0.0042%,Technology,TW,"US$2,166,174.80","1,172,162",2344.T
3436,SUMCO Corp,0.0042%,Technology,JP,"US$2,156,900.61","272,980",3436.T
MER,Manila Electric Co,0.0042%,Utilities,PH,"US$2,158,932.13","214,050",MRK
300502,Eoptolink Technology Inc Ltd,0.0041%,Telecommunications,CN,"US$2,155,007.46","43,800",300502.SZ
CPN/F,Central Pattana PCL,0.0041%,Real Estate,TH,"US$2,155,952.79","1,297,400",0P0001TWEJ.F
5333,NGK Insulators Ltd,0.0041%,Industrials,JP,"US$2,144,162.77","108,600",5333.T
3888,Kingsoft Corp Ltd,0.0041%,Technology,HK,"US$2,143,879.98","582,800",388870.KQ
9009,Keisei Electric Railway Co Ltd,0.0041%,Industrials,JP,"US$2,137,814.80","263,200",9009.HK
600019,Baoshan Iron & Steel Co Ltd,0.0041%,Basic Materials,CN,"US$2,136,760.06","2,083,400",600019.SS
HVN,Harvey Norman Holdings Ltd,0.0041%,Consumer Discretionary,AU,"US$2,131,910.92","468,423",HVN.AX
000776,GF Securities Co Ltd,0.0041%,Financials,CN,"US$2,128,668.61","711,800",000776.SZ
SAPR11,Cia De Sanena Do Parana,0.0041%,Utilities,BR,"US$2,129,653.58","304,500",SAPR11F.SA
RHC,Ramsay Health Care Ltd,0.0041%,Health Care,AU,"US$2,121,060.73","87,865",RHCPA.AX
AVOL,Avolta AG,0.0041%,Consumer Discretionary,CH,"US$2,118,935.87","38,563",DFRYF
005830,DB Insurance Co Ltd,0.0041%,Financials,KR,"US$2,118,358.21","25,023",005830.KS
PHNX,Phoenix Mills Ltd/The,0.0041%,Real Estate,IN,"US$2,115,867.92","108,970",PHNX.L
9513,Electric Power Development Co Ltd,0.0041%,Utilities,JP,"US$2,119,511.05","105,100",9513.SR
8804,Tokyo Tatemono Co Ltd,0.004%,Real Estate,JP,"US$2,095,866.71","94,800",8804.T
6370,Kurita Water Industries Ltd,0.004%,Industrials,JP,"US$2,095,573.21","52,600",6370.T
1402,Far Eastern New Century Corp,0.004%,Industrials,TW,"US$2,097,340.52","2,334,221",WNZ2T2.NZ
AMP,AMP Ltd,0.004%,Financials,AU,"US$2,092,040.82","1,838,651",AMP
3800,GCL Technology Holdings Ltd,0.004%,Energy,HK,"US$2,089,776.00","14,026,000",3800.T
3443,Global Unichip Corp,0.004%,Technology,TW,"US$2,088,258.72","29,000",3443.T
3908,China International Capital Corp Ltd,0.004%,Financials,HK,"US$2,083,612.82","855,600",3908.T
KLK,Kuala Lumpur Kepong Bhd,0.004%,Basic Materials,MY,"US$2,084,767.09","426,500",KLKIM.IS
024110,Industrial Bank of Korea,0.004%,Financials,KR,"US$2,083,603.58","149,112",024110.KS
GMRAIRPO,GMR Airports Infrastructure Ltd,0.004%,Industrials,IN,"US$2,088,352.30","1,724,023",GMRAIRPORT.BO
600460,Hangzhou Silan Microelectronics Co Ltd,0.004%,Technology,CN,"US$2,081,825.02","526,900",600460.SS
QGTS,Qatar Gas Transport Co Ltd,0.004%,Industrials,QA,"US$2,075,289.60","1,674,303",QGTS.QA
601888,China Tourism Group Duty Free Corp Ltd,0.004%,Consumer Discretionary,CN,"US$2,073,845.05","185,498",601888.SS
9023,Tokyo Metro Co Ltd,0.004%,Industrials,JP,"US$2,077,221.72","201,900",9023.T
UOL,UOL Group Ltd,0.004%,Real Estate,SG,"US$2,077,776.32","319,600",U14.SI
BCVN,Banque Cantonale Vaudoise,0.004%,Financials,CH,"US$2,074,518.71","17,102",BCVNZ.XC
5631,Japan Steel Works Ltd/The,0.004%,Industrials,JP,"US$2,071,291.25","35,000",5631.T
EMBASSY,Embassy Office Parks REIT,0.004%,Real Estate,IN,"US$2,070,341.64","433,886",EMBDL.NS
OPCE,OPC Energy Ltd,0.004%,Utilities,IL,"US$2,072,555.05","100,407.89",OPCE.TA
8334,Gunma Bank Ltd/The,0.004%,Financials,JP,"US$2,068,506.57","186,100",8334.T
352820,HYBE Co Ltd,0.004%,Consumer Discretionary,KR,"US$2,066,247.58","10,146",352820.KS
ENLT,Enlight Renewable Energy Ltd,0.004%,Utilities,IL,"US$2,056,993.12","52,196",ENLT
ADANIENS,Adani Energy Solutions Ltd,0.0039%,Utilities,IN,"US$2,051,598.85","184,516",ADANIENSOL.NS
