Holdings details

Total World Stock ETF (VT)


Equity,as of 11/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BYMXPS7,UniCredit SpA,UCG,0.11%,Diversified Banks,IT,---,"$83,826,700.12","1,126,057"
,7108899,ABB Ltd,ABBN,0.11%,Electrical Components & Equipment,CH,---,"$83,139,035.80","1,155,290"
,BMH4FS1,Constellation Energy Corp,CEG,0.11%,Electric Utilities,US,---,"$82,586,930.68","226,663"
,2261203,Deere & Co,DE,0.11%,Agricultural & Farm Machinery,US,---,"$81,769,284.09","176,041"
,BCRWZ18,Cie Financiere Richemont SA,CFR,0.11%,"Apparel, Accessories & Luxury Goods",CH,---,"$81,594,835.70","383,794"
,2685717,ConocoPhillips,COP,0.11%,Oil & Gas Exploration & Production,US,---,"$81,089,355.69","914,301"
,2931034,Vertex Pharmaceuticals Inc,VRTX,0.11%,Biotechnology,US,---,"$80,833,576.20","186,420"
,6563024,Sumitomo Mitsui Financial Group Inc,8316,0.11%,Diversified Banks,JP,---,"$80,770,298.66","2,669,344"
,2671501,Parker-Hannifin Corp,PH,0.11%,Industrial Machinery & Supplies & Components,US,---,"$79,963,174.90","92,797"
,2378534,McKesson Corp,MCK,0.11%,Health Care Distributors,US,---,"$79,701,709.60","90,455"
,B4TX8S1,AIA Group Ltd,1299,0.10%,Life & Health Insurance,HK,---,"$79,279,245.34","7,611,382"
,B3BQMF6,Chubb Ltd,CB,0.10%,Property & Casualty Insurance,US,---,"$79,220,449.32","267,474"
,5671735,Sanofi SA,SAN,0.10%,Pharmaceuticals,FR,---,"$77,350,841.93","775,545"
,BKF2SL7,Blackstone Inc,BX,0.10%,Asset Management & Custody Banks,US,---,"$77,167,000.50","527,025"
,5842359,Deutsche Telekom AG,DTE,0.10%,Integrated Telecommunication Services,DE,---,"$76,810,849.81","2,381,896"
,2466149,Enbridge Inc,ENB,0.10%,Oil & Gas Storage & Transportation,CA,---,"$76,394,514.23","1,565,589"
,6770620,SoftBank Group Corp,9984,0.10%,Wireless Telecommunication Services,JP,---,"$76,307,984.76","709,440"
,7212477,EssilorLuxottica SA,EL,0.10%,Health Care Supplies,FR,---,"$74,801,236.09","208,549"
,2065308,Automatic Data Processing Inc,ADP,0.10%,Human Resource & Employment Services,US,---,"$74,768,434.50","292,865"
,5983816,Zurich Insurance Group AG,ZURN,0.10%,Multi-line Insurance,CH,---,"$73,753,336.99","102,577"
,4076836,Intesa Sanpaolo SpA,ISP,0.10%,Diversified Banks,IT,---,"$73,470,100.21","11,325,760"
