This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard S&P 500 UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
ALL;Allstate Corp/The;0.0952%;Financials;US;US$75,810,869.94;355,953
BDX;Becton Dickinson & Co;0.0943%;Health Care;US;US$75,114,066.92;387,146
PCAR;PACCAR Inc;0.0939%;Industrials;US;US$74,776,198.14;709,317
PSX;Phillips 66;0.0939%;Energy;US;US$74,747,700.48;545,763
VLO;Valero Energy Corp;0.0931%;Energy;US;US$74,166,905.16;419,591
SLB;SLB Ltd;0.0917%;Energy;US;US$73,020,410.88;2,014,912
D;Dominion Energy Inc;0.0909%;Utilities;US;US$72,375,504.79;1,153,027
MNST;Monster Beverage Corp;0.0907%;Consumer Staples;US;US$72,187,773.68;962,632
KMI;Kinder Morgan Inc;0.0906%;Energy;US;US$72,155,425.72;2,641,121
AFL;Aflac Inc;0.0901%;Financials;US;US$71,727,533.16;650,236
FTNT;Fortinet Inc;0.0896%;Information Technology;US;US$71,381,662.59;879,843
O;Realty Income Corp;0.0894%;Real Estate;US;US$71,160,793.76;1,235,216
URI;United Rentals Inc;0.089%;Industrials;US;US$70,865,227.76;86,932
LHX;L3Harris Technologies Inc;0.0885%;Industrials;US;US$70,443,077.85;252,765
F;Ford Motor Co;0.0881%;Consumer Discretionary;US;US$70,126,646.88;5,280,621
DDOG;Datadog Inc;0.0877%;Information Technology;US;US$69,874,766.90;436,690
DLR;Digital Realty Trust Inc;0.0871%;Real Estate;US;US$69,339,005.28;433,044
EW;Edwards Lifesciences Corp;0.0863%;Health Care;US;US$68,723,503.11;792,933
CAH;Cardinal Health Inc;0.086%;Health Care;US;US$68,478,896.68;322,618
ABNB;Airbnb Inc;0.0851%;Consumer Discretionary;US;US$67,801,437.51;579,549
BKR;Baker Hughes Co;0.0839%;Energy;US;US$66,842,053.00;1,331,515
NXPI;NXP Semiconductors NV;0.0834%;Information Technology;US;US$66,379,799.16;340,514
XEL;Xcel Energy Inc;0.0824%;Utilities;US;US$65,584,048.74;798,734
ROP;Roper Technologies Inc;0.0814%;Information Technology;US;US$64,846,475.28;145,324
EXC;Exelon Corp;0.0807%;Utilities;US;US$64,274,507.20;1,364,060
CBRE;CBRE Group Inc;0.0804%;Real Estate;US;US$64,055,874.26;395,822
WDAY;Workday Inc;0.079%;Information Technology;US;US$62,908,644.34;291,757
