This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard FTSE All-World UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
MO;Altria Group Inc;0.1046%;Consumer Staples;US;US$54,429,702.81;922,381
BN;Brookfield Corp;0.104%;Financials;CA;US$54,122,011.26;1,143,510
CMCSA;Comcast Corp;0.104%;Telecommunications;US;US$54,076,181.96;2,026,084
SBUX;Starbucks Corp;0.1032%;Consumer Discretionary;US;US$53,660,718.21;616,011
ZURN;Zurich Insurance Group AG;0.1031%;Financials;CH;US$53,609,620.03;74,577
MELI;MercadoLibre Inc;0.1016%;Consumer Discretionary;US;US$52,828,318.22;25,499
BP/;BP PLC;0.101%;Energy;GB;US$52,551,754.43;8,732,211
6857;Advantest Corp;0.1008%;Technology;JP;US$52,462,624.16;397,900
LMT;Lockheed Martin Corp;0.1002%;Industrials;US;US$52,120,035.24;113,834
TMUS;T-Mobile US Inc;0.0993%;Telecommunications;US;US$51,644,489.91;247,091
HOOD;Robinhood Markets Inc;0.0991%;Financials;US;US$51,572,545.26;401,374
GSK;GSK PLC;0.099%;Health Care;GB;US$51,520,809.73;2,171,057
DUK;Duke Energy Corp;0.0989%;Utilities;US;US$51,448,113.70;415,105
8035;Tokyo Electron Ltd;0.0987%;Technology;JP;US$51,350,733.74;251,990
TT;Trane Technologies PLC;0.0981%;Industrials;US;US$51,007,509.60;121,020
SPOT;Spotify Technology SA;0.096%;Consumer Discretionary;US;US$49,923,599.81;83,363
1810;Xiaomi Corp;0.0958%;Telecommunications;HK;US$49,845,074.50;9,460,600
MMM;3M Co;0.0957%;Industrials;US;US$49,795,743.30;289,426
BMO;Bank of Montreal;0.0949%;Financials;CA;US$49,389,114.64;389,186
PDD;PDD Holdings Inc;0.0935%;Technology;US;US$48,665,263.12;419,239
MMC;Marsh & McLennan Cos Inc;0.0932%;Financials;US;US$48,475,378.35;264,243
HCA;HCA Healthcare Inc;0.0929%;Health Care;US;US$48,335,329.26;95,094
GD;General Dynamics Corp;0.0922%;Industrials;US;US$47,968,268.30;140,410
2317;Hon Hai Precision Industry Co Ltd;0.0922%;Technology;TW;US$47,941,573.03;6,672,489
ICE;Intercontinental Exchange Inc;0.0918%;Financials;US;US$47,769,650.50;303,685
